Timestamp,Device_ID,Source_IP,Destination_IP,Packet_Count,Bytes_Transferred,Duration,Protocol,Source_Port,Destination_Port,Label
2026-02-17T08:33:32.302Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,13,2674,0,tcp,65130,80,0
2026-02-17T08:33:37.145Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,35,1249,5,tcp,53220,80,0
2026-02-17T08:33:42.179Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,33,4664,10,tcp,56042,80,0
2026-02-17T08:33:47.216Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,48,748,15,tcp,61234,80,0
2026-02-17T08:33:52.294Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,16,978,20,tcp,53271,80,0
2026-02-17T08:33:57.338Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,30,546,25,tcp,49434,80,0
2026-02-17T08:34:02.408Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,36,1202,30,tcp,53983,80,0
2026-02-17T08:34:07.446Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,35,3888,35,tcp,53336,80,0
2026-02-17T08:34:12.486Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,30,2423,40,tcp,62927,80,0
2026-02-17T08:34:17.520Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,29,3869,45,tcp,64032,80,0
2026-02-17T08:34:22.554Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,11,965,50,tcp,58846,80,0
2026-02-17T08:34:27.614Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,39,3698,55,tcp,59657,80,0
2026-02-17T08:34:32.706Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,45,3084,60,tcp,59107,80,0
2026-02-17T08:34:37.681Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,23,4842,65,tcp,58493,80,0
2026-02-17T08:34:45.421Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,24,3793,70,tcp,61314,80,0
2026-02-17T08:34:47.752Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,12,3558,75,tcp,60808,80,0
2026-02-17T08:34:52.856Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,46,4132,80,tcp,50340,80,0
2026-02-17T08:34:57.791Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,39,944,85,tcp,57420,80,0
2026-02-17T08:35:02.851Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,27,1684,90,tcp,52592,80,0
2026-02-17T08:35:07.905Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,11,1397,95,tcp,52032,80,0
2026-02-17T08:35:12.938Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,29,2983,100,tcp,53592,80,0
2026-02-17T08:35:17.973Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,40,671,105,tcp,53200,80,0
2026-02-17T08:35:23.014Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,27,4486,110,tcp,56268,80,0
2026-02-17T08:35:28.103Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,27,4713,115,tcp,64006,80,0
2026-02-17T08:35:33.142Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,23,1588,121,tcp,55556,80,0
2026-02-17T09:10:46.219Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,21,902,2234,tcp,64833,80,0
2026-02-17T09:10:51.218Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,11,786,2239,tcp,59423,80,0
2026-02-17T09:10:56.344Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,23,3331,2244,tcp,62116,80,0
2026-02-17T09:11:01.288Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,34,1074,2249,tcp,54007,80,0
2026-02-17T09:11:06.373Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,14,4018,2254,tcp,54247,80,0
2026-02-17T09:11:11.452Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,24,1468,2259,tcp,53164,80,0
2026-02-17T09:11:16.490Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,26,4605,2264,tcp,50706,80,0
2026-02-17T09:11:21.599Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,20,4416,2269,tcp,61135,80,0
2026-02-17T09:11:26.584Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,26,2695,2274,tcp,51544,80,0
2026-02-17T09:11:31.626Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,24,2631,2279,tcp,64610,80,0
2026-02-17T09:11:36.681Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,42,3977,2284,tcp,59377,80,0
2026-02-17T09:11:41.719Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,11,4997,2289,tcp,65003,80,0
2026-02-17T09:11:46.757Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,33,3897,2294,tcp,57949,80,0
2026-02-17T09:11:51.795Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,25,4117,2299,tcp,65512,80,0
2026-02-17T09:11:56.844Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,14,4063,2304,tcp,63024,80,0
2026-02-17T09:12:01.879Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,13,2414,2309,tcp,57408,80,0
2026-02-17T09:12:06.923Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,18,657,2314,tcp,53406,80,0
2026-02-17T09:12:11.967Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,40,1529,2319,tcp,58563,80,0
2026-02-17T09:12:17.113Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,24,4892,2324,tcp,58072,80,0
2026-02-17T09:12:22.050Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,33,1867,2329,tcp,59798,80,0
2026-02-17T09:12:27.119Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,41,2391,2335,tcp,58523,80,0
2026-02-17T09:12:32.115Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,27,1538,2340,tcp,52286,80,0
2026-02-17T09:12:37.146Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,39,1687,2345,tcp,64844,80,0
2026-02-17T09:12:42.183Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,42,2055,2350,tcp,56398,80,0
2026-02-17T09:12:47.222Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,17,2517,2355,tcp,63032,80,0
2026-02-17T09:12:52.255Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,11,1892,2360,tcp,61119,80,0
2026-02-17T09:12:57.312Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,20,2842,2365,tcp,59462,80,0
2026-02-17T09:13:02.351Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,40,3388,2370,tcp,64501,80,0
2026-02-17T09:13:07.391Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,45,3859,2375,tcp,54831,80,0
2026-02-17T09:13:12.427Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,24,2212,2380,tcp,53206,80,0
2026-02-17T09:13:17.462Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,32,3170,2385,tcp,59543,80,0
2026-02-17T09:13:22.498Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,31,3047,2390,tcp,55766,80,0
2026-02-17T09:13:27.530Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,37,3978,2395,tcp,54593,80,0
2026-02-17T09:13:32.563Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,41,4662,2400,tcp,65425,80,0
2026-02-17T09:13:37.603Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,48,1375,2405,tcp,52285,80,0
2026-02-17T09:13:42.636Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,12,1393,2410,tcp,52887,80,0
2026-02-17T09:13:47.702Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,19,3612,2415,tcp,55583,80,0
2026-02-17T09:13:52.757Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,26,4880,2420,tcp,54802,80,0
2026-02-17T09:13:57.804Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,23,1708,2425,tcp,62825,80,0
2026-02-17T09:14:02.839Z,ESP8266_NORMAL,10.64.233.236,10.64.233.181,37,2381,2430,tcp,60632,80,0
